MeditsCode;ScientificName;SourceReference;Reference;CATFAU;CODLON;Valid_Name_Ifremer_reference
RAJASPP;Raja ;C ;21.1.12 ;A;0;Raja Linnaeus, 1758 
RAJAUND;Raja undulata ;C ;21.1.25 ;A;0;Raja undulata Lacepède, 1802 
REGAGLE;Regalecus glesne ;C ;106.1.1. ;A;0;Regalecus glesne Ascanius, 1772 
RHINCEM;Rhinobatos cemiculus ;C ;19.1.2 ;A;0;Rhinobatos cemiculus Geoffroy Saint-Hilaire, 1817
RHINRHI;Rhinobatos rhinobatos ; C ;19.1.1 ;A;0;Rhinobatos rhinobatos (Linnaeus, 1758) 
RHIPMAR;Rhinoptera marginata ; C ;24.1.1 ;A;0;Rhinoptera marginata (Geoffroy Saint-Hilaire, 1817) 
RHYNHEP;Rhynchogadus hepaticus; C ;103.9.1 ;A;0;Rhynchogadus hepaticus (Facciolà, 1884) 
RICHFRE;Richardina fredericii ;Z ;Z ;A;0;Richardina fredericii Lo Bianco, 1903 
RISSDES;Rissoides desmaresti ;F ;SQUIL ;D;0;Rissoides desmaresti (Risso, 1816) 
RISSPAL;Rissoides pallidus ;F ;SQUIL ;B;m;Rissoides pallidus (Giesbrecht, 1910) 
ROCHCAR;Rochinia carpenteri ;Z ;Z ;B;m;Rochinia carpenteri (Wyville & Thomson, 1873) 
RONDMIN;Rondeletiola minor ;F ;SEPIOL ;C;0;Rondeletiola minor (Naef, 1912) 
ROSSMAC;Rossia macrosoma ;F ;SEPIOL Ross 1 ;C;0;Rossia macrosoma (Delle Chiaje, 1828) 
SADASAR;Sarda sarda ;C ;158.4.1 ;A;0;Sarda sarda (Bloch, 1793) 
SALOTRU;Salmo trutta trutta ;C ;45.1.2 ;A;0;Salmo trutta trutta Linnaeus, 1758 
SARDPIL;Sardina pilchardus ;C ;33.3.1 ;A;0;Sardina pilchardus (Walbaum, 1792) 
SARIAUR;Sardinella aurita ;C ;33.4.1 ;A;0;Sardinella aurita Valenciennes, 1847 
SARIMAD;Sardinella maderensis ;C ;33.4.2 ;A;0;Sardinella maderensis (Lowe, 1838) 
SARPSAL;Sarpa salpa ;C ;139.9.1 ;A;0;Sarpa salpa (Linnaeus, 1758) 
SCAEUNI;Scaeurgus unicirrhus ;F ;OCT Scae 1 ;C;0;Scaeurgus unicirrhus (Delle Chiaje, 1838) 
SCALSCA;Scalpelum scalpelum ;R ;Riedl ;B;m;Scalpellum scalpellum (Linnaeus, 1758) 
SCAPNIG;Scaphander lignarius ;;;D;0;Scaphander lignarius (Linnaeus, 1758) 
SCHEOVA;Schedophilus ovalis ;C ;176.3.2 ;A;0;Schedophilus ovalis (Cuvier, 1833) 
SCIAUMB;Sciaena umbra ;C ;137.1.1 ;A;0;Sciaena umbra Linnaeus, 1758 
SCOBSAU;Scomberesox saurus ;C ;91.1.1 ;A;0;Scomberesox saurus saurus (Walbaum, 1792) 
SCOHRHO;Scophthalmus rhombus ;C ;195.1.1 ;A;0;Scophthalmus rhombus (Linnaeus, 1758) 
SCOMPNE;Scomber (Pneumatophorus) japonicus ;C ;156.1.2 ;A;0;Scomber japonicus Houttuyn, 1782 
SCOMSCO;Scomber scombrus ;C ;156.1.1 ;A;0;Scomber scombrus Linnaeus, 1758 
SCORELO;Scorpaena elongata ;C ;184.1.3 ;A;0;Scorpaena elongata Cadenat, 1943 
SCORLOP;Scorpaena loppei ;C ;184.1.5 ;A;0;Scorpaena loppei Cadenat, 1943 
SCORMAD;Scorpaena maderensis ;C ;184.1.6 ;A;0;Scorpaena madurensis Valenciennes, 1833 
SCORNOT;Scorpaena notata ;C ;184.1.7 ;A;0;Scorpaena notata Rafinesque, 1810 
SCORPOR;Scorpaena porcus ;C ;184.1.1 ;A;0;Scorpaena porcus Linnaeus, 1758 
SCORSCO;Scorpaena scrofa ;C ;184.1.8 ;A;0;Scorpaena scrofa Linnaeus, 1758 
SCYLARC;Scyllarus arctus ;F ;SCYL Scylr 1 ;B;m;Scyllarus arctus (Linnaeus, 1758) 
SCYLLAT;Scyllarides latus ;F ;SCYL Scyld 1 ;B;m;Scyllarides latus (Latreille, 1803) 
SCYLPYG;Scyllarus pygmaeus ;F ;SCYL Scylr 2 ;B;m;Scyllarus pygmaeus (Bate, 1888) 
SCYMLIC;Dalatias (Scymnorhinus) licha ;C ;16.4.3 ;A;0;Dalatias licha (Bonnaterre, 1788) 
SCYOCAN;Scyliorhinus canicula ;C ;11.1.1 ;A;0;Scyliorhinus canicula (Linnaeus, 1758) 
SCYOSTE;Scyliorhinus stellaris ;C ;11.1.2 ;A;0;Scyliorhinus stellaris (Linnaeus, 1758) 
SEPENEG;Sepietta neglecta ;F ;SEPIOL ;C;0;Sepietta neglecta Naef, 1916 
SEPEOBS;Sepietta obscura ;F ;SEPIOL ;C;0;Sepietta obscura Naef, 1916 
SEPEOWE;Sepietta oweniana ;F ;SEPIOL ;C;0;Sepietta oweniana (D'Orbigny, 1839) 
SEPESPP;Sepietta spp. ;F ;SEPIOL ;C;0;Sepietta Naef, 1912 
SEPIELE;Sepia elegans ;F ;SEP Sep 3 ;C;0;Sepia elegans De Blainville, 1827 
SEPIOFF;Sepia officinalis ;F ;SEP Sep 1 ;C;0;Sepia officinalis Linnaeus, 1758 
SEPIORB;Sepia orbignyana ;F ;SEP Sep 4 ;C;0;Sepia orbignyana De Férussac, 1826 
SEPISPP;Sepia ;F ;SEP Sep 1 ;C;0;Sepia Linnaeus, 1758 
SEPOAFF;Sepiola affinis ;F ;SEPIOL ;C;0;Sepiola affinis Naef, 1912 
SEPOINT;Sepiola intermedia ;F ;SEPIOL ;C;0;Sepiola intermedia Naef, 1912 
SEPOLIG;Sepiola ligulata ;F ;SEPIOL ;C;0;Sepiola ligulata Naef, 1912 
SEPOROB;Sepiola robusta ;F ;SEPIOL ;C;0;Sepiola robusta Naef, 1912 
SEPORON;Sepiola rondeleti ;F ;SEPIOL ;C;0;Sepiola rondeleti Leach, 1817 
SEPOSPP;Sepiola spp ;F ;SEP ;C;0;Sepiola Leach, 1817 
SERAATR;Serranus atricauda; C ;124.1.2 ;A;0;Serranus atricauda Günther, 1874 
SERACAB;Serranus cabrilla ;C ;124.1.1 ;A;0;Serranus cabrilla (Linnaeus, 1758) 
SERAHEP;Serranus hepatus ;C ;124.1.3 ;A;0;Serranus hepatus (Linnaeus, 1758) 
SERASCR;Serranus scriba ;C ;124.1.4 ;A;0;Serranus scriba (Linnaeus, 1758) 
SERGARC;Sergestes arcticus ;Z ;Z ;B;m;Sergestes arcticus Krøyer, 1855 
SERGROB;Sergestes robustus ;Z ;Z ;B;m;Sergestes robustus (S.J. Smith, 1882) 
SERGSAR;Sergestes sargassi (= henseni) ;Z ;Z ;B;m;Sergestes sargassi Ortmann, 1893 
SERIDUM;Seriola dumerili ;C ;131.9.1 ;A;0;Seriola dumerili (Risso, 1810) 
SOLEIMP;Solea impar ;C ;198.1.2 ;A;0;Solea impar Bennett, 1831 
SOLEKLE;Solea kleini ;C ;198.1.3 ;A;0;Synaptura kleinii (Risso, 1827) 
SOLELAS;Solea lascaris ;C ;198.1.4 ;A;0;Solea lascaris (Risso, 1810) 
SOLESEN;Solea senegalensis ;C ;198.1.6 ;A;0;Solea senegalensis Kaup, 1858 
SOLEVUL;Solea vulgaris ;C ;198.1.1 ;A;0;Solea solea (Linnaeus, 1758) 
SOLOMEM;Solenocera membranacea ;F ;SOLENO Soleno B ;B;m;Solenocera membranacea (Risso, 1816) 
SPARAUR;Sparus aurata ;C ;139.1.1 ;A;0;Sparus auratus Linnaeus, 1758 
SPARCAE;Pagrus (Sparus) coeruleostictus ;C ;139.11.2 ;A;0;Pagrus caeruleostictus (Valenciennes, 1830) 
SPARPAG;Pagrus (Sparus) pagrus ;C ;139.11.3 ;A;0;Pagrus pagrus (Linnaeus, 1758) 
SPHOCUT;Sphoeroides cutaneus ;C ;204.3.2 ;A;0;Sphoeroides pachygaster (Müller & Troschel, 1848)
SPHYSPY;Sphyraena sphyraena ;C ;180.1.1 ;A;0;Sphyraena sphyraena (Linnaeus, 1758) 
SPICFLE;Spicara flexuosa ;C ;141.2.2 ;A;0;Spicara maena (Linnaeus, 1758) 
SPICMAE;Spicara maena ;C ;141.2.1 ;A;0;Spicara maena (Linnaeus, 1758) 
SPICSMA;Spicara smaris ;C ;141.2.3 ;A;0;Spicara smaris (Linnaeus, 1758) 
SPICSPP;Spicara ;C ;141.2.3 ;A;0;Spicara Rafinesque, 1810 
SPISSPP;Spisula spp ;F ;MACTR ;E;0;Spisula Gray, 1837 
SPISSUB;Spisula subtrucata ;F ;MACTR ;E;0;Spisula subtruncata (Da Costa, 1778) 
SPODCAN;Spondyliosoma cantharus ;C ;139.10.1 ;A;0;Spondyliosoma cantharus (Linnaeus, 1758) 
SPRASPR;Sprattus sprattus ;C ;33.5.1 ;A;0;Sprattus sprattus sprattus (Linnaeus, 1758) 
SQUAACA;Squalus acanthias ;C ;16.1.1 ;A;0;Squalus acanthias Linnaeus, 1758 
SQUABLA;Squalus blainvillei ;C ;16.1.2 ;A;0;Squalus blainville (Risso, 1827) 
SQUIMAN;Squilla mantis ;F ;SQUIL Squil 5 ;B;m;Squilla mantis (Linnaeus, 1758) 
SQUTACU;Squatina aculeata ;C ;17.1.2 ;A;0;Squatina aculeata Cuvier, 1829 
SQUTOCL;Squatina oculata ;C ;17.1.3 ;A;0;Squatina oculata Bonaparte, 1840 
SQUTSPP;Squatina spp ;C ;17.1;A;0;Squatina Duméril, 1806 
SQUTSQU;Squatina squatina ;C ;17.1.1 ;A;0;Squatina squatina (Linnaeus, 1758) 
STEPDIA;Stephanolepis diaspros ;C ;202.1.2 ;A;0;Stephanolepis diaspros Fraser-Brunner, 1940 
STICREG;Stichopus regalis ;F ;STICH Stich 1 ;D;0;Eotichopus regalis 
STOLLEU;Stoloteuthis leucoptera ;F ;SEPIOL ;C;0;Stoloteuthis leucopterus (Verrill, 1878) 
STOMBOA;Stomias boa ;C ;41.1.1 ;A;0;Stomias boa boa (Risso, 1810) 
STROFIA;Stromateus fiatola ;C ;179.1.1 ;A;0;Stromateus fiatola Linnaeus, 1758 
SUBECAR;Suberites carnosus ;;;D;0;Suberites carnosus (Johnston, 1842) 
SUBEDOM;Suberites domuncula ;;;D;0;Suberites domuncula (Olivi, 1792) 
SUBESPP;Suberites spp. ;;;D;0;Suberites Nardo, 1833 
SYMBVER;Symbolophorus veranyi ;C ;58.19.1 ;A;0;Symbolophorus veranyi (Moreau, 1888) 
SYMDCIN;Symphodus cinereus ;C ;145.9.3 ;A;0;Symphodus cinereus (Bonnaterre, 1788) 
SYMDMED;Symphodus mediterraneus; C ;145.9.6 ;A;0;Symphodus mediterraneus (Linnaeus, 1758) 
SYMDOCE;Symphodus ocellatus ;C ;145.9.9 ;A;0;Symphodus ocellatus (Forsskål, 1775) 
SYMDROS;Symphodus rostratus ;C ;145.9.1 ;A;0;Symphodus rostratus (Bloch, 1791) 
SYMDTIN;Symphodus tinca ;C ;145.9.12 ;A;0;Symphodus tinca (Linnaeus, 1758) 
SYMPLIG;Symphurus ligulatus ;C ;199.2.2 ;A;0;Symphurus ligulatus (Cocco, 1844) 
SYMPNIG;Symphurus nigrescens ;C ;199.2.1 ;A;0;Symphurus nigrescens Rafinesque, 1810 
SYNDSAU;Synodus saurus ;C ;51.1.2 ;A;0;Synodus saurus (Linnaeus, 1758) 
SYNGACU;Syngnathus acus ;C ;97.1.1 ;A;0;Syngnathus acus Linnaeus, 1758 
SYNGPHL;Syngnathus phlegon ;C ;97.1.3. ;A;0;Syngnathus phlegon Risso, 1827 
SYNGTAE;Syngnathus taenionotus ;C ;97.1.6 ;A;0;Syngnathus taenionotus Canestrini, 1871 
SYNGTYP;Syngnathus typhle ;C ;97.1.8 ;A;0;Syngnathus typhle Linnaeus, 1758 
TAENGRA;Taeniura grabata ;C ;22.4.1 ;A;0;Taeniura grabata (Geoffroy Saint-Hilaire, 1817) 
TELLSPP;Tellina spp ;F ;TELL ;E;0;Tellina Linnaeus, 1758 
TETHFIM;Tethys fimbria ;;;C;0;Tethys fimbria Linnaeus, 1767 
THAMPOI;Thalamita poissonii ;Y ;Y ;B;;Thalamita poissonii (Audouin, 1826) 
TODASAG;Todarodes sagittatus ;F ;OMMAS Todarod ;C;0;Todarodes sagittatus (Lamarck, 1798) 
TODIEBL;Todaropsis eblanae ;F ;OMMAS Todarod ;C;0;Todaropsis eblanae (Ball, 1841) 
TORPMAR;Torpedo marmorata ;C ;20.1.2 ;A;0;Torpedo marmorata Risso, 1810 
TORPNOB;Torpedo nobiliana ;C ;20.1.3 ;A;0;Torpedo nobiliana Bonaparte, 1835 
TORPSPP;Torpedo ;C ;20.1.1 ;A;0;Torpedo Houttuyn, 1764 
TORPTOR;Torpedo torpedo ;C ;20.1.1 ;A;0;Torpedo torpedo (Linnaeus, 1758) 
TRACMED;Trachurus mediterraneus; C ;131.10.3 ;A;0;Trachurus mediterraneus (Steindachner, 1868) 
TRACPIC;Trachurus picturatus ;C ;131.10.4 ;A;0;Trachurus picturatus (Bowdich, 1825) 
TRACTRA;Trachurus trachurus ;C ;131.10.1 ;A;0;Trachurus trachurus (Linnaeus, 1758) 
TRAHARA;Trachinus araneus ;C ;148.1.2 ;A;0;Trachinus araneus Cuvier, 1829 
TRAHDRA;Trachinus draco ;C ;148.1.1 ;A;0;Trachinus draco Linnaeus, 1758 
TRAHRAD;Trachinus radiatus ;C ;148.1.3 ;A;0;Trachinus radiatus Cuvier, 1829 
TRARTRA;Trachyrhynchus trachyrhynchus ;C ;99.1.1 ;A;0;Trachyrincus scabrus (Rafinesque, 1810) 
TRAYCRI;Trachyscorpia cristulata ;C ;184.7.1 ;A;0;Trachyscorpia cristulata echinata (Koehler, 1896) 
TRIGLUC;Trigla lucerna ;C ;185.1.2 ;A;0;Chelidonichthys lucernus (Linnaeus, 1758) 
TRIGLYR;Trigla lyra ;C ;185.1.1 ;A;0;Trigla lyra Linnaeus, 1758 
TRIILEP;Trichiurus lepturus ;C ;155.1.1 ;A;0;Trichiurus lepturus Linnaeus, 1758 
TRIPLAS;Trigloporus lastoviza ;C ;185.5.1 ;A;0;Chelidonichthys lastoviza (Bonnaterre, 1788) 
TRISCAP;Trisopterus minutus capelanus ;C ;101.11.1 ;A;0;Trisopterus minutus (Linnaeus, 1758) 
TRISLUS;Trisopterus luscus ;C ;101.11.3 ;A;0;Trisopterus luscus (Linnaeus, 1758) 
TRITNOD;Charonia (Triton) rubicunda (nodifer) ;F ;CYM Char 1 ;D;0;Charonia lampas (Linnaeus, 1758) 
TURRCOM;Turritella comunnis ;F ;D12 ;E;0;Turritella communis Risso, 1826 
TURRSIM;Turris similis ;;D'Angelo ;E;0;Fusiturris similis (Bivona And., 1838) 
TURRSPP;Turritella spp ;F ;TURR ;D;0;Turritella Lamarck, 1799 
UMBAMED;Umbraculum mediterraneum ;;;E;0;Umbraculum umbraculum (Röding, 1798) 
UMBRCAN;Umbrina canariensis ;C ;137.4.2 ;A;0;Umbrina canariensis Valenciennes, 1843 
UMBRCIR;Umbrina cirrosa ;C ;137.4.1 ;A;0;Umbrina cirrosa (Linnaeus, 1758) 
UMBRRON;Umbrina ronchus ;C ;137.4.3 ;A;0;Umbrina ronchus Valenciennes, 1843 
UPENMOL;Upeneus moluccensis ;X ;X ;A;;Upeneus moluccensis (Bleeker, 1855) 
URANSCA;Uranoscopus scaber ;C ;149.1.1 ;A;0;Uranoscopus scaber Linnaeus, 1758 
VENUSPP;Venus spp. ;F ;VEN ;D;0;Venus Linnaeus, 1758 
VENUVER;Venus verrucosa ;F ;VEN Ven 1 ;D;0;Venus verrucosa Linnaeus, 1758 
VINCATT;Vinciguerria attenuata ;C ;37.12.1 ;A;0;Vinciguerria attenuata (Cocco, 1838) 
VINCPOW;Vinciguerria poweriae ;C ;37.12.3 ;A;0;Vinciguerria poweriae (Cocco, 1838) 
XANTCOU;Medaeus (Xantho) couchi ;Z ;Z ;B;m;Monodaeus couchi (Couch, 1851) 
XENOCRI;Xenophora crispa ;F ;XENOPH ;E;m;Xenophora crispa (Koenig, 1825) 
XENOSPP;Xenophora spp ;F ;XENOPH ;E;m;Xenophora Fischer Von Waldheim, 1807 
XIPHGLA;Xiphias gladius ;C ;161.1.1 ;A;0;Xiphias gladius Linnaeus, 1758 
ZEUSFAB;Zeus faber ;C ;120.1.1 ;A;0;Zeus faber Linnaeus, 1758 
ZOSTOPH;Zostoricessor ophiocephalus ;C ;162.26.1 ;A;0;Zosterisessor ophiocephalus (Pallas, 1814) 
